expression	rel	p-value (log[10])
בית משפט	attr	63.2474592689748
סוף שבוע	attr	61.2345881562967
שיתוף פעולה	attr	49.3946944269412
דרך כלל	attr	44.4109265808346
ארץ ברית	attr	43.6313472293087
עיירה פיתוח	attr	41.7315313148196
ראש ממשלה	attr	38.262991955306
בן משפחה	attr	35.7244744982117
מועצה מנהל	attr	33.7578217301072
פרס נובל	attr	33.0695891316631
רואה חשבון	attr	32.4005823507032
מכון תקן	attr	32.0892360770877
"יו""ר ועדה"	attr	31.2748888605773
קליטה עלייה	attr	29.9828763558907
רמה גן	attr	28.8091035993357
ברית מועצה	attr	28.5157287319886
משמר גבול	attr	28.0924075897361
שדה תעופה	attr	26.8041269540041
איכות סביבה	attr	26.6778614217168
כפר סבא	attr	26.4106004320353
משרד שיכון	attr	26.3747038650237
קרן פנסיה	attr	26.2715200348936
מחנה פליט	attr	25.8265636404778
בית ספר	attr	25.7517117704387
ועדה כסף	attr	25.5457454810692
הר בית	attr	24.5142527373544
חברה חשמל	attr	24.3824792868963
סגן שר	attr	24.3761939012058
מערכת בחירות	attr	23.7997695838306
מחיר דלק	attr	23.588169975695
חברה ביטוח	attr	23.5416606277474
גבייה קנס	attr	23.1784060541775
סך הכיל	attr	21.5877068273867
שכר דירה	attr	21.5097643206308
בית מלון	attr	21.2488339163085
רשות שדה	attr	21.0315546092812
זיכרון דבר	attr	20.5178893664379
בית מרקחת	attr	20.268238285659
דעה קהל	attr	20.1790682774066
הצעה חוק	attr	19.8032120795958
הסכם שכר	attr	19.7003030889387
עונש מאסר	attr	19.5822758924994
יצירה אמנות	attr	19.4336761417929
תיק השקעה	attr	19.0164018640788
שר משטרה	attr	18.9585877586051
ראש עירייה	attr	17.9227634223855
פתרון בעיה	attr	17.1925257612232
סניף בנק	attr	17.1490721292017
בנק איגוד	attr	16.856438012468
מסע הלוויה	attr	16.8035941119714
כתב אישום	attr	16.6843054286569
כתב עת	attr	16.6636271600917
אוהד כדורגל	attr	16.5491737381822
שכר מינימום	attr	16.408457603239
פסק דין	attr	16.408457603239
משרד משטרה	attr	16.2760530185457
מלחמה עולם	attr	16.0562469600183
אפוד מגן	attr	15.9462247339094
רחב ארץ	attr	15.8728104236389
שר אוצר	attr	15.7949770885724
משרד אוצר	attr	15.4285933784501
מטה בחירות	attr	15.4143572734364
"מנכ""ל משרד"	attr	15.2794360172862
תאונה דרך	attr	15.246476250051
עץ אלון	attr	15.0729583426706
שר חוץ	attr	14.6661452601452
חנות עודף	attr	14.6038020530867
בן זוג	attr	14.5905914561198
לשכה מהנדס	attr	14.5614777398596
מטפחת ראש	attr	14.4925982655218
חתן פרס	attr	14.3697188470539
סוכן נסיעה	attr	14.1983301349525
כלה הכיל	attr	14.158865481739
כלכלה שוק	attr	14.158865481739
גוש אמון	attr	14.0980062835919
ניתוק זרם	attr	14.0980062835919
ועד עובד	attr	14.0713954520422
גיליון אישום	attr	13.9669799555001
חילוק דעה	attr	13.9669799555001
הנהלה בנק	attr	13.9510386864774
כוח ביטחון	attr	13.9368333386755
הקמה מחוז	attr	13.8683006804028
שכר לימוד	attr	13.7824805875342
משרד תעשייה	attr	13.7520995380522
ראשית שנה	attr	13.7269339479394
תשומה לב	attr	13.6281613989467
מרכז שלטון	attr	13.6034011154773
עוזר מאמן	attr	13.4204723749481
מסיבה עיתונאי	attr	13.3990362792558
גזר דין	attr	13.3386580841686
זכות אדם	attr	13.1076859927822
אתר הסרטה	attr	13.0481843676367
בן ערובה	attr	13.0401629811379
צוות חשיבה	attr	13.0132266597138
מחיר נפט	attr	12.9686278745316
מעשה שוד	attr	12.9672290114738
בקבוק תבערה	attr	12.9219150245366
שביעות רצון	attr	12.9219150245362
מסירה דירה	attr	12.695186635879
עשב תיבול	attr	12.553938239241
מטרה רווח	attr	12.466865880724
תוכנית חיסכון	attr	12.4503501594981
תשלום ארנונה	attr	12.425472808675
קצין משטרה	attr	12.2552845204526
תשורה המשך	attr	12.2529082435776
מעשה אלימות	attr	12.2289818928664
סקר דעה	attr	12.2201128456532
מקום עבודה	attr	12.1891578435523
פיקוד דרום	attr	12.0600604554371
העלאה מחיר	attr	12.0378517409749
"מנכ""ל חברה"	attr	11.9228945598866
ענף לול	attr	11.8627929529582
שמן זית	attr	11.8551090529267
שירות תעסוקה	attr	11.7594219276179
משחק חוץ	attr	11.6021187829001
קרב מגננה	attr	11.4034010846583
איגרת חוב	attr	11.4034010846583
הענקה פרס	attr	11.4034010846583
כוח אדם	attr	11.3425302364445
מזג אוויר	attr	11.2437002417908
מפקד מחוז	attr	11.1480024453385
רעול פנים	attr	11.1053089651932
גביע אלופה	attr	11.0771925372735
ביטוח חיים	attr	10.980370748182
חופש פעולה	attr	10.9154790035336
זכות אזרח	attr	10.8739229548254
בת ים	attr	10.8609246192565
הלכה אשכנזי	attr	10.8305998648461
טירה כרמל	attr	10.8305998648461
מחזה פסיון	attr	10.8305998648461
יום מסחר	attr	10.674429702729
בנק פועל	attr	10.6281114249712
"מזכ""ל הסתדרות"	attr	10.6002591173055
חסר דיור	attr	10.5451528285543
הסכם קומבינציה	attr	10.509622515214
איגוד כדורסל	attr	10.4542719237345
מחנה ריכוז	attr	10.4127125022048
דרגה ניצב	attr	10.4040584041267
פה הצעה	attr	10.2483275120404
מסך טלוויזיה	attr	10.2337919531305
חוברת הדרכה	attr	10.2285398735164
מגן דוד	attr	10.2285398735164
מפלגה עבודה	attr	10.187329879107
בית קפה	attr	10.0835626669138
פרקליטות מחוז	attr	10.0716364720181
מחנה אימון	attr	9.97429532690916
חבר הנהלה	attr	9.95675970223946
ארוחה ערב	attr	9.83059986484607
חווה דעת	attr	9.83059986484607
רוע מזל	attr	9.83059986484607
אחוז שומן	attr	9.83059986484395
גבינה פרמזן	attr	9.83059986484395
נהג מונית	attr	9.83059986484395
עבודה דוקטורט	attr	9.81135705798401
סוכנות ביטוח	attr	9.79819483106011
כלי רכב	attr	9.78781551789165
ניהול תיק	attr	9.78781551789165
הקמה תחנה	attr	9.72232438393222
ליקוי ראייה	attr	9.66297076194388
הגנה צרכן	attr	9.6265238769592
ארון קודש	attr	9.52956986918068
סדר יום	attr	9.30772777165235
הכשרה יישוב	attr	9.28653182049579
עשב מאכל	attr	9.28653182049519
חבר מועצה	attr	9.27617021203216
כהונה מושל	attr	9.22862786753433
מצב עין	attr	9.17919300528265
שר משפט	attr	9.10290901179182
זכות נאשם	attr	9.02452926055968
ועדה תקינה	attr	8.98618586189164
נגיד בנק	attr	8.96526324612005
קהל צופה	attr	8.92764187556254
תנועה מושב	attr	8.92401695012227
חוסר און	attr	8.844532676706
סכסוך עבודה	attr	8.80693536336723
דרך קבע	attr	8.80401572481494
עידוד השקעה	attr	8.7698171789705
חומר גלם	attr	8.75141861879783
גובה עמלה	attr	8.68464783503649
מס קנייה	attr	8.68464783503649
עסקה טיעון	attr	8.68464783503649
בחירה שופט	attr	8.62411181786539
"מנכ""ל רשות"	attr	8.60950669526504
יעד מחבל	attr	8.52983387620423
רוטב עגבנייה	attr	8.48817718402202
כלי תקשורת	attr	8.44797626808298
חלקה אדמה	attr	8.37423383171702
חתימה הסכם	attr	8.37423383171702
רעידה אדמה	attr	8.37423383171702
תפוח אדמה	attr	8.37423383171702
משרד בינוי	attr	8.35511657176519
נעל בית	attr	8.35250233826416
מעשה רצח	attr	8.31290346685993
טיול גליל	attr	8.30452462300999
חברה גז	attr	8.16686760656047
בעל השקפה	attr	8.14607114947919
נבחרת נוער	attr	8.08285189114737
הנהלה סיעה	attr	8.08240204191818
תוכנית המשך	attr	8.08240204191818
סגן מפקד	attr	8.05991749371433
מקבל החלטה	attr	8.05491050947537
מעצמה מערב	attr	8.01140801239488
סכום תביעה	attr	7.98870195523155
משבר מפרץ	attr	7.98602988522954
סיוע חוץ	attr	7.95832858334181
משחק אימון	attr	7.89579297008466
רוטב שמנת	attr	7.88651330625452
ועדה בדיקה	attr	7.86861199657519
תחילה שנה	attr	7.77416532385936
מטבע חוץ	attr	7.7739356919204
שעה בוקר	attr	7.77369501350763
כפר מכבייה	attr	7.77261398888213
"מ""ם יו""ר"	attr	7.75203475171652
ציבור רופא	attr	7.74316788521851
ניצחון חוץ	attr	7.72684362758061
מועצה ביטחון	attr	7.71460979442573
יום עיון	attr	7.67465075523921
קביעה גובה	attr	7.66792267774702
מועצה עם	attr	7.66519713389166
איש עסק	attr	7.64719481389869
עני עיר	attr	7.6430791440096
חברה בנייה	attr	7.63241481336279
שער ריבית	attr	7.61382010583652
עלייה מחיר	attr	7.60734836360304
מרכז ליכוד	attr	7.53212853002738
משחק ליגה	attr	7.53212853002738
חומר מילוי	attr	7.45131285058042
ארון מטבח	attr	7.45131285057963
אגוז לוז	attr	7.43819605670165
כאב גב	attr	7.43819605670165
כף מאזניים	attr	7.43819605670165
לוויין ריגול	attr	7.43819605670165
נישואין תערובת	attr	7.43819605670165
קיצור תור	attr	7.43819605670165
תחתית סולם	attr	7.43819605670165
תוכנית מתאר	attr	7.41562651687549
בעל תפקיד	attr	7.37695909374776
עירייה תל	attr	7.37511414650394
רימון גז	attr	7.36447399442787
לשכה עורך	attr	7.27046687327558
שדולה איש	attr	7.26783132182955
דרך שלום	attr	7.23500518185149
משרד רואה	attr	7.23266483389002
תקציב מדינה	attr	7.17727727928325
סוג דבק	attr	7.17364494589971
נעל גבר	attr	7.17238354025267
שחקן חיזוק	attr	7.17238354025267
פקיד תוכנית	attr	7.15049051774525
רשות חברה	attr	7.14004547587011
בית דין	attr	7.13124220666802
מנהל סניף	attr	7.12818492133712
חיל אוויר	attr	7.07452433492762
שגרה חיים	attr	7.01469021395929
שוק הון	attr	7.0047710644235
עת מסע	attr	6.99932362610165
שיעור מצביע	attr	6.98120205584147
אוניברסיטה בייר	attr	6.96107480198206
בריכה ערבה	attr	6.96107480198206
הכרזה ריבונות	attr	6.96107480198206
חוליית קישור	attr	6.96107480198206
כביש מעלה	attr	6.96107480198206
מיטב מסורת	attr	6.96107480198206
שק שפע	attr	6.96107480198206
אלוף פיקוד	attr	6.96107480198199
בחירות משנה	attr	6.96107480198199
גבה עמק	attr	6.96107480198199
חיבור קורה	attr	6.96107480198199
מעגל קסם	attr	6.96107480198199
משנה תוקף	attr	6.96107480198199
נפגע משכנתא	attr	6.96107480198199
סרסור זונה	attr	6.96107480198199
קותל חזיר	attr	6.96107480198199
העלאה שיעור	attr	6.9456937061233
כתב הגנה	attr	6.93326889204736
טענה תובע	attr	6.92023049068623
חשבון בנק	attr	6.8742980970897
סיעה ליכוד	attr	6.87314321037671
פקיד ממשל	attr	6.83192648811553
מדד מחיר	attr	6.81457953477751
יין בית	attr	6.81014349538539
עורך דין	attr	6.79762674055486
רקע חשד	attr	6.78309871691759
יד חייל	attr	6.77463911723428
מחיר זהב	attr	6.762286515515
פיקוד משטרה	attr	6.75317168182238
ועדה חוץ	attr	6.72455236277759
אליפות עולם	attr	6.71429718920185
בית חנון	attr	6.71134085553555
בית נבחר	attr	6.71134085553555
בית סוהר	attr	6.71134085553555
בית שאן	attr	6.71134085553555
סוף שנה	attr	6.6747419216508
כבוד משפחה	attr	6.66691664574564
הערה שול	attr	6.66004480631801
כוהן דת	attr	6.66004480631801
כיבוי אש	attr	6.66004480631801
שיווק מכשיר	attr	6.66004480631801
דין עבריין	attr	6.66004480631564
חסיד אומה	attr	6.66004480631564
מהנדס מכונה	attr	6.66004480631564
מוצר צריכה	attr	6.66004480631564
מנה פסטה	attr	6.66004480631564
רישיון נהיגה	attr	6.66004480631564
רעיון טרנספר	attr	6.66004480631564
שכונה בקעה	attr	6.66004480631564
כוח תשורה	attr	6.64932809328425
סגן חשב	attr	6.5770437190966
העסקה עובד	attr	6.57704371909566
יושב ראש	attr	6.57704371909566
תקופה כהונה	attr	6.54535944722275
שיפור ראייה	attr	6.54063298277035
ערבות מדינה	attr	6.53834379348959
חוסר יכולת	attr	6.53433585861077
כושר ביטוי	attr	6.5237315565092
ביקורת עיתונות	attr	6.48399264824531
ייצוא יהלום	attr	6.48399264824531
תכנון צביעה	attr	6.48399264824531
פרשה הר	attr	6.45259570342835
מבחר נעל	attr	6.43819605670165
נחיתה מחבל	attr	6.43819605670165
שמורה טבע	attr	6.43819605670165
דקה דומייה	attr	6.43819605669953
מתקן שאיבה	attr	6.43819605669953
נהג משאית	attr	6.43819605669953
עמלה מוטב	attr	6.43819605669953
פרויקט חקר	attr	6.43819605669953
קופה גמל	attr	6.43819605669953
מדע מדינה	attr	6.42647538099221
כישלון קליטה	attr	6.41765248696388
ועדה משמעת	attr	6.41171879631159
חדר ילד	attr	6.34812456670456
אזור ביטחון	attr	6.28466743606649
מדינה מערב	attr	6.27386267158036
עולם פשע	attr	6.27386267157901
חוף ניצן	attr	6.26210479764637
חילוף משמרת	attr	6.26210479764637
יישום הגבלה	attr	6.26210479764637
כרטיס אשראי	attr	6.26210479764637
עיר נמל	attr	6.26210479764637
צורה התיישבות	attr	6.26210479764637
סבב מינוי	attr	6.26210479764597
סחר סם	attr	6.26210479764597
צעדה הזדהות	attr	6.26210479764597
מפקד משמר	attr	6.2529846713795
דירקטוריון חברה	attr	6.19031723514939
מקרא הודעה	attr	6.18300175706242
קבר אח	attr	6.18300175706242
ניסיון פיוס	attr	6.18300175705998
שכבה מצוקה	attr	6.18300175705998
הצעה החלטה	attr	6.14230478361601
עובד בנק	attr	6.12654766839176
רשות דיבור	attr	6.1176354036432
במאי סרט	attr	6.11597676196773
דוכן עד	attr	6.11597676196773
תמונה מאבק	attr	6.11597676196773
נקודה התחלה	attr	6.11597676196688
שיא קריירה	attr	6.11597676196688
כלי נשק	attr	6.09710514202526
תנור גז	attr	6.0666151458729
אגף תקציב	attr	6.05588849569931
יום הולדת	attr	6.02056291938161
דובר משרד	attr	6.01058947422431
מקום מושב	attr	6.00723679318609
שר ביטחון	attr	5.99674621659651
מקרה התעללות	attr	5.99103802535993
אספקה מים	attr	5.9840204327607
שעה עבודה	attr	5.98142334014544
מדע חברה	attr	5.96239941480219
דמות זאב	attr	5.96119211546806
חולי נפש	attr	5.96119211546806
תקווה עתיד	attr	5.96119211546806
לוחם צדק	attr	5.96119211546586
עורך עיתון	attr	5.93143407696204
רשת טלוויזיה	attr	5.89907426345195
מאבק צמרת	attr	5.8820499730183
מטוס אף	attr	5.8820499730183
מימוש אחריות	attr	5.8820499730183
רצח נזירה	attr	5.88189355593594
הדרכה מאמן	attr	5.88189355593436
סוגר טבלה	attr	5.88189355593436
התאחדות מלון	attr	5.85390675601823
ראש עיר	attr	5.85128165459487
אמצע שנה	attr	5.85081814177982
מחיר אלומיניום	attr	5.83626758648176
מנגנון ביטחון	attr	5.83626758648116
פה הערכה	attr	5.82055445220662
מצב רוח	attr	5.7855378992135
פנים שטח	attr	5.7855378992135
כרטיס טיסה	attr	5.78513996794249
מגרש רוסי	attr	5.78513996794249
צו מניעה	attr	5.78513996794249
גירוש ערבי	attr	5.78513996794217
סוחר סם	attr	5.78513996794217
שיחה תיאום	attr	5.78513996794217
צומת אלון	attr	5.78498354292631
שפיכות דם	attr	5.78498354292631
בסיס מטוס	attr	5.78498354292362
דרישה גרמני	attr	5.78498354292362
מכשיר חשמל	attr	5.78082515067399
שר בריאות	attr	5.77443812498742
הלך רוח	attr	5.69783336720741
מאמר מערכת	attr	5.69783336720741
עסקן ספורט	attr	5.69783336720741
ערבי שטח	attr	5.69783336720741
דרגה טוראי	attr	5.69783336720414
המלצה ועדה	attr	5.68276295585127
שמירה חוק	attr	5.68023370996883
ייצור חלק	attr	5.66027944119171
נשיא בית	attr	5.65614913932252
כוח צד	attr	5.65311936741494
נוכחות עד	attr	5.63905104732529
גובה פרמיה	attr	5.63905104732436
מועד יציאה	attr	5.63905104732436
כותל בית	attr	5.62188984493966
רוטב ויניגרט	attr	5.61865212116014
רוטב פסטו	attr	5.61865212116014
פירעון חוב	attr	5.61865212115978
אזור תעשייה	attr	5.56477757878269
מזגן אוויר	attr	5.54610145401117
ראש אגף	attr	5.54342382292905
החלטה ממשלה	attr	5.54282079072794
כושר ראייה	attr	5.52760616378673
זכות חבר	attr	5.52536908837238
כינוס ועידה	attr	5.48426640608621
מכירה שליטה	attr	5.48426640608621
ממשלה ימין	attr	5.48426640608621
פסולת עץ	attr	5.47915466438056
"יו""ר מועצה"	attr	5.41871889212107
סימן שאלה	attr	5.40504608197324
איש שכונה	attr	5.4022543516444
נשיא מדינה	attr	5.38725415379528
בן אדם	attr	5.3809822148023
משאל עם	attr	5.35901481065403
ברית מילה	attr	5.35901481065341
מלוא עוצמה	attr	5.33821660051461
לקוח סניף	attr	5.3382166005131
חברה מקור	attr	5.32230070300052
אולם תצוגה	attr	5.30817519459846
הסדר הימור	attr	5.30817519459846
משפחה קנטור	attr	5.30817519459846
שיטה ריפוי	attr	5.30817519459846
תהליך שיקום	attr	5.30817519459846
תושב כפר	attr	5.30817519459846
פה החלטה	attr	5.27108659724213
מנהל חברה	attr	5.27080830140379
משחק מחזור	attr	5.27026985843955
צדקה דרך	attr	5.25350462588405
טענה קיזוז	attr	5.25350462588102
מסע חניכה	attr	5.25350462588102
חבר דירקטוריון	attr	5.23346474273416
חבר ועד	attr	5.23346474273416
הפרש שער	attr	5.22106414802644
פרץ אלימות	attr	5.22106414802644
רשת מסעדה	attr	5.21335610017886
שבוע מזון	attr	5.21335610017599
שוויון זכות	attr	5.21335610017599
תוספת תקן	attr	5.19028897756777
איש קיבוץ	attr	5.18904260053406
איגוד פועל	attr	5.1773750356681
מאמן פועל	attr	5.1773750356681
מתן היתר	attr	5.15944245574923
נעל תינוק	attr	5.15944245574923
הסדר שכר	attr	5.15121668834594
שר תעשייה	attr	5.14930348015867
חוק זר	attr	5.14192203466304
מחיר כותנה	attr	5.14179483974678
משרד בריאות	attr	5.13321117979565
גוף מתנדב	attr	5.11656340856103
אוסף כתב	attr	5.10428987320403
בניין טלוויזיה	attr	5.09118010228559
מימון פרויקט	attr	5.08663929142591
כתב עיתון	attr	5.08231916550254
תנאי עסקה	attr	5.06941050372508
בעל מנייה	attr	5.06407966506681
בעל רשת	attr	5.06407966506681
הפעלה חוק	attr	5.06134494903412
משרד תיירות	attr	5.03847475889211
שיעור קומה	attr	5.03507553552481
איש שמאל	attr	5.00749219512795
מימוש רווח	attr	5.00745810880224
תו תקן	attr	4.99728697463643
פרקליט תובע	attr	4.99174202504272
דף מידע	attr	4.9917420250401
